label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Fenster,1449,1157,161,258,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1786,1157,162,259,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2121,1156,167,266,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2454,1157,161,260,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2792,1156,161,265,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1477,1597,126,198,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1806,1598,127,201,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2109,1597,182,199,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2471,1594,130,203,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2785,1597,124,199,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1476,1954,131,218,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1800,1956,131,218,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2107,1952,186,221,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2479,1952,122,219,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2793,1954,124,219,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1482,2317,130,199,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,1802,2319,131,198,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2474,2317,132,197,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2802,2317,132,197,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Tür,2112,2317,178,294,01_Gemeindehaus_Bauprojekt_page14.jpg,4961,3508
Fenster,2114,1157,158,264,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2575,1158,161,260,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,3029,1158,164,260,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2126,1598,130,198,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2592,1597,121,195,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,3047,1597,128,196,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2132,1955,124,216,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2581,1955,129,213,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,3046,1955,124,216,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2132,2318,125,196,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Tür,2563,2317,176,296,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,3037,2315,125,203,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,1416,1514,322,1019,01_Gemeindehaus_Bauprojekt_page15.jpg,4961,3508
Fenster,2053,1513,1044,1019,01_Gemeindehaus_Bauprojekt_page16.jpg,4961,3508
Fenster,1703,1516,350,1095,01_Gemeindehaus_Bauprojekt_page16.jpg,4961,3508
Fenster,1571,2380,86,155,01_Gemeindehaus_Bauprojekt_page16.jpg,4961,3508
Fenster,1364,2022,93,156,01_Gemeindehaus_Bauprojekt_page16.jpg,4961,3508
Fenster,1603,1656,69,163,01_Gemeindehaus_Bauprojekt_page16.jpg,4961,3508
Fenster,3068,2308,118,158,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,2952,1927,73,164,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,3167,1607,103,160,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,2316,2318,124,194,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,2314,1951,130,217,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,2316,1594,128,197,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,2300,1156,166,259,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1834,1154,166,263,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1370,1156,160,257,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1390,1596,122,194,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1854,1596,126,195,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1402,1954,120,221,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1856,1952,126,217,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Fenster,1400,2315,120,199,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
Tür,1803,2347,231,249,01_Gemeindehaus_Bauprojekt_page17.jpg,4961,3508
