label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Fenster,1130,1805,215,280,page1.jpg,4961,3508
Fenster,1541,1183,706,359,page1.jpg,4961,3508
Fenster,1728,1801,227,292,page1.jpg,4961,3508
Fenster,2260,1800,225,299,page1.jpg,4961,3508
Fenster,1128,2438,249,280,page1.jpg,4961,3508
Fenster,1749,2441,241,269,page1.jpg,4961,3508
Fenster,2281,2429,224,284,page1.jpg,4961,3508
Fenster,2787,2333,159,264,page1.jpg,4961,3508
Fenster,2793,1803,155,245,page1.jpg,4961,3508
Fenster,3084,1558,101,154,page1.jpg,4961,3508
Fenster,3653,1491,238,393,page1.jpg,4961,3508
Fenster,3651,2023,238,350,page1.jpg,4961,3508
Fenster,3090,2025,235,347,page1.jpg,4961,3508
Fenster,1921,917,136,129,page1.jpg,4961,3508
